,ID,Region,Main Source of Income,Agricultural Household indicator,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Walls,House Floor Area,House Age,Number of bedrooms,Electricity,Total Household Income,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
3860,354,C,Other sources of Income,0,Male,55,Married,Employer in own family-operated farm or business,Single Family,5,0,0,1,Single house,Strong,300,11,4,1,11815988,286736,37836,26796,27132,125802,6108,16397,70000,0,0,41326,156600,48000,198540,217002,92988,194000,146706,75000,0,3107400,4,1,0,1,1,3,4,0,5,4,1,0,2
3513,7,C,Other sources of Income,0,Male,55,Married,Employer in own family-operated farm or business,Extended Family,8,2,1,0,Single house,Strong,144,15,5,1,11639365,280597,63182,37800,40551,41956,12475,17200,46900,3160,0,30025,292098,240000,38615,66570,43458,102500,50664,98000,0,0,1,2,0,2,0,4,2,1,8,4,1,0,2
29329,1760,L,Enterpreneurial Activities,0,Male,45,Married,Employer in own family-operated farm or business,Extended Family,5,1,0,2,Single house,Strong,250,11,6,1,9952913,367772,75737,31472,74847,53305,19329,26967,10690,5670,0,212925,606798,390000,289040,161106,48858,22565,317712,57000,0,9234485,5,1,0,1,1,3,4,2,8,4,2,0,1
21291,596,I,Enterpreneurial Activities,0,Male,46,Married,Self-employed wihout any employee,Single Family,3,0,0,1,Single house,Strong,135,21,2,1,7082152,219345,17900,10200,31470,29543,7962,10748,60288,0,0,71234,331248,210000,14321,20844,17400,149862,64434,20000,0,6576302,4,1,2,1,1,1,2,0,4,2,1,0,3
35476,3222,N,Enterpreneurial Activities,2,Male,75,Widowed,Employer in own family-operated farm or business,Single Family,7,0,1,3,Single house,Strong,100,20,6,1,6452314,293880,60920,30430,42479,45374,10446,10156,71550,7868,120,19569,1663812,1500000,11954,52860,73470,78450,75906,0,0,4050722,3,3,1,2,2,5,3,1,5,2,1,0,0
25907,784,K,Enterpreneurial Activities,0,Male,54,Married,Employer in own family-operated farm or business,Single Family,7,0,1,3,Duplex,Strong,300,14,3,1,6203960,245209,51720,35050,28260,41758,5189,16098,44540,15210,8688,39145,299178,150000,56998,156438,36600,148850,124818,8000,0,5749030,2,1,1,4,1,2,0,0,4,0,1,0,0
40855,1100,Q,Wage/Salaries,0,Male,75,Married,Employer in own family-operated farm or business,Extended Family,6,0,1,4,Single house,Strong,638,41,4,1,6071030,434881,83878,18000,93936,52215,25750,24148,13000,0,0,43864,369600,240000,111388,530322,112500,69500,159252,120000,2823280,2823280,4,3,2,3,1,4,4,2,8,5,2,1,0
987,988,A,Enterpreneurial Activities,0,Male,66,Married,Self-employed wihout any employee,Extended Family,4,0,1,0,Single house,Strong,130,17,5,1,6042860,149996,28040,19200,16290,5210,4975,6075,61550,2432,7240,7740,149340,120000,37500,34548,10800,87700,54936,13000,0,5790000,1,0,0,1,1,0,1,0,4,1,1,0,0
11289,212,F,Enterpreneurial Activities,0,Male,69,Married,Worked without pay in own family-operated farm or business,Extended Family,9,2,0,1,Single house,Strong,100,22,5,1,5652261,415217,67885,49080,41255,25404,36550,19442,70350,840,16290,55615,227322,84000,118580,262158,45594,70500,553560,72000,0,5107451,3,1,0,0,1,4,4,1,6,3,1,0,2
13150,2073,F,Enterpreneurial Activities,0,Male,70,Married,Employer in own family-operated farm or business,Extended Family,3,0,0,0,Single house,Strong,500,13,7,1,5045878,79151,11012,7200,9100,14532,3565,4829,12000,0,0,5750,329400,180000,973700,31998,75000,0,75810,120000,0,4723878,5,0,0,1,1,2,2,0,3,1,1,0,0
22200,1505,I,Enterpreneurial Activities,0,Male,50,Married,Employer in own family-operated farm or business,Extended Family,8,0,2,0,Single house,Strong,130,36,3,1,4942530,213265,38746,32064,27188,21614,12526,3819,74148,0,1086,48550,195510,144000,3456,109998,38994,36870,43458,34584,0,4798140,2,2,1,1,1,1,4,1,7,3,0,0,1
15205,891,G,Enterpreneurial Activities,0,Male,41,Married,Employer in own family-operated farm or business,Single Family,4,0,2,1,Single house,Strong,100,13,3,1,4810822,216014,71547,43800,38298,18674,4174,11497,21220,6024,0,37232,144216,90000,15825,158418,10500,43800,36900,7500,1779690,3513785,1,1,1,1,1,1,1,0,2,1,1,0,0
6068,2562,C,Enterpreneurial Activities,1,Female,73,Widowed,,Extended Family,7,0,3,3,Single house,Strong,140,40,5,1,4497165,174726,37283,27966,18717,11136,8247,10112,55020,360,0,11106,125304,72000,21932,63270,13188,11000,100524,59700,3729973,4151543,2,1,1,1,1,3,1,0,3,3,1,0,1
20341,3808,H,Enterpreneurial Activities,0,Female,62,Divorced/Separated,Self-employed wihout any employee,Extended Family,4,0,0,1,Single house,Strong,450,25,4,1,4349214,379432,60859,20100,52837,56802,17630,13397,218700,0,0,82500,652926,420000,46760,203496,73194,0,195186,22000,0,2236200,4,3,0,1,1,2,4,1,4,1,1,0,1
35477,3223,N,Other sources of Income,2,Male,70,Married,Worked for private establishment,Single Family,7,0,0,1,Single house,Strong,200,21,3,1,4208400,355418,57052,29917,94174,45661,17626,21303,65700,1113,0,17250,2188560,1920000,3948,48654,49776,0,34908,0,0,1227500,3,2,1,3,2,5,2,1,2,2,1,0,0
35380,3126,N,Wage/Salaries,2,Male,42,Married,Worked for private establishment,Single Family,5,0,1,4,Single house,Strong,200,15,5,1,4141500,369839,51887,35700,50427,15814,7181,11836,180980,0,0,41194,1334118,1200000,21128,142548,77970,83000,109080,16000,0,0,3,3,1,2,1,5,3,2,5,4,2,0,0
30937,1031,M,Wage/Salaries,0,Male,69,Widowed,Employer in own family-operated farm or business,Extended Family,14,0,7,2,Single house,Strong,300,22,7,1,4103250,516494,57700,18000,63600,40760,17452,6630,291000,0,14480,217500,527760,240000,50000,168000,149940,97500,299070,70000,0,984000,3,1,1,2,0,5,5,1,7,5,1,0,0
20630,4097,H,Wage/Salaries,0,Male,29,Married,Worked for private establishment,Extended Family,7,1,2,2,Single house,Strong,60,25,2,1,4015000,656954,53919,22600,45531,28775,15556,17583,360600,305,0,356750,228300,0,62020,293214,62400,105000,234798,131000,0,0,3,0,0,1,1,1,1,0,7,0,0,0,0
35596,3342,N,Other sources of Income,2,Male,49,Married,Self-employed wihout any employee,Single Family,5,0,3,0,Single house,Strong,35,17,2,1,4005640,321779,26702,15010,27880,20230,17818,21923,156220,4589,0,26780,965610,780000,8360,107916,56400,246200,70938,5700,0,1977640,1,1,1,1,1,3,2,1,3,3,0,0,0
13118,2041,F,Enterpreneurial Activities,0,Male,60,Married,Self-employed wihout any employee,Extended Family,8,0,0,2,Single house,Strong,100,35,4,1,3900743,335367,35130,26100,96338,25800,14260,18803,112800,248,9231,25890,213360,150000,8638,80292,46632,168800,42750,10000,0,3502689,1,1,1,1,1,1,2,1,8,1,0,0,0
20877,182,I,Other sources of Income,0,Male,74,Married,Worked for government/government corporation,Single Family,2,0,0,2,Single house,Strong,100,14,3,1,3805717,316179,32997,16250,67876,41816,14800,15200,126000,3240,0,31495,162642,60000,48500,241596,36000,0,259122,556700,212365,1378365,2,1,1,4,1,3,4,0,4,1,1,0,4
18609,2076,H,Enterpreneurial Activities,0,Male,49,Married,Employer in own family-operated farm or business,Single Family,5,0,1,1,Single house,Strong,120,32,3,1,3802502,350723,33332,21300,63392,36543,12912,5410,217240,1392,0,56899,222822,120000,24216,366954,43788,211000,69972,8500,0,3350002,5,2,2,1,1,2,5,1,5,6,1,0,0
35786,3532,N,Wage/Salaries,2,Male,67,Married,Worked for private establishment,Single Family,4,0,0,4,Single house,Strong,100,33,4,1,3790612,353805,30511,14534,35538,24197,12507,8770,177790,6082,14480,28776,206640,120000,87808,86160,81282,0,71994,5000,0,480000,3,3,1,1,1,2,2,1,4,2,1,0,1
25759,636,K,Wage/Salaries,0,Male,48,Married,Worked for government/government corporation,Single Family,5,0,1,2,Single house,Strong,200,1,5,1,3577000,450822,53052,14400,41030,41872,32687,15542,238500,10560,0,32530,414150,330000,5700,481098,79194,245000,158376,15000,0,467000,2,2,2,1,1,5,1,1,9,6,2,0,0
35902,3648,N,Enterpreneurial Activities,2,Male,57,Married,Employer in own family-operated farm or business,Extended Family,4,0,0,1,Single house,Strong,510,50,5,1,3574746,313312,30926,21788,20407,14564,6506,9490,192284,594,0,28125,857940,720000,6180,100830,51576,15000,69330,0,0,2314400,3,3,1,1,1,3,2,2,4,4,1,0,1
36164,3910,N,Enterpreneurial Activities,2,Male,66,Married,Self-employed wihout any employee,Extended Family,11,1,1,3,Single house,Strong,50,45,3,1,3494697,429296,50784,31960,72379,67153,69319,26679,66250,936,1560,51128,565680,420000,83558,119034,90738,21300,70836,43500,0,1803640,3,3,2,2,2,3,3,1,6,5,1,0,1
